	chr1p	chr1q	chr10p	chr10q	chr11p	chr11q	chr12p	chr12q	chr13q	chr14q	chr15q	chr16p	chr16q	chr17p	chr17q	chr18p	chr18q	chr19p	chr19q	chr2p	chr2q	chr20p	chr20q	chr21p	chr21q	chr22q	chr3p	chr3q	chr4p	chr4q	chr5p	chr5q	chr6p	chr6q	chr7p	chr7q	chr8p	chr8q	chr9p	chr9q	chrXp	chrXq	chrYp	chrYq	class
M1	1.4762299393	0.2800743141	1.2721777923	-0.2739134779	-1.2921946916	0.0756493987	0.1492631129	2.6354469494	-2.3486838507	-0.2666851535	-1.0148284417	0.7830583506	-0.718005558	-0.9760274769	-0.1664403987	0.67950539	-0.9976506526	0.4714683371	-0.0386954848	0.8741322759	1.1352677357	0.9509070159	-0.3926047453	-1.7039792761	-0.3923698784	-0.0076705531	1.1553089063	0.1354174133	0.050375268	-0.5927235536	0.3787039294	-1.524388397	-2.5170981804	-2.6680179658	0.9922599857	-1.6364178311	-1.0774196001	-1.2401169062	-0.4268311472	-0.9148175367	4.1157836784	3.5344600389	-4.3421857413	-4.2120728459	male
M2	-0.0466335168	0.7034035498	-0.168488325	0.7429744513	-1.4598839885	0.0856934502	-0.775889345	0.8070823593	0.501321119	2.1510962414	0.4044265861	0.3844621175	-1.1846183721	-0.8990734355	-1.5054514232	-0.2778842331	0.8544858096	-1.0989655581	-0.4712692656	-0.5756046072	-0.0378389456	-0.6295285325	-0.9779656405	1.0145361223	0.4440271693	-0.4112546693	0.0392373982	-0.8789915249	-0.0631445683	0.1085126898	0.2677879329	-0.2588351096	0.6114679765	0.6237141867	-0.5542649613	0.1512045462	0.1369947592	0.1260302692	0.7838809468	0.0191559148	-0.537143433	-0.4038581026	0.707692376	-0.2103625636	male
M3	0.3586189482	-0.4575255334	-0.1064730126	1.4464275144	-0.6592485294	-0.4474365821	0.6707980557	1.1929240019	0.7367802501	1.2988090743	-0.9055493584	-0.0213675029	-1.2353977662	-0.1081775022	-0.9676986552	-1.3606799128	0.781707251	-0.1992141346	0.0643515451	0.760151884	-1.5270743539	-0.2534100727	0.5447502705	0.1115134674	-0.3334702014	-0.0593075886	0.2761307445	0.4688676376	-0.2478628545	0.0143471496	-0.551704414	0.993893585	0.2246355905	0.5183670327	-1.2251473343	-0.5419061738	-0.5042607816	0.4684935109	-0.0728581071	0.0454034407	-0.4103001409	-0.3318470889	-0.0067506303	-0.425361955	male
M4	0.0444150605	0.1677551778	0.7284661636	0.5241043223	0.4655679946	-0.2681509156	-1.086256779	-0.2618917252	0.2907608827	-0.2695399088	0.3364508102	-0.3168219894	0.6618632451	0.7378237889	-0.1516842102	0.4885531939	-0.2897950584	0.9688422951	0.3986125072	0.0957472685	0.4248173946	-0.7949040658	0.8087980513	-0.1835985221	0.4148091013	0.3926279622	0.1666222635	-0.0820909594	-0.3179910432	-0.689092795	-0.4113908799	0.6610993238	0.9133112061	-0.0136969392	-0.3031494755	-0.4294134566	-0.3455091553	-0.0816842836	-0.2645373863	-0.155173262	0.0434807607	-0.2548477068	-0.3916363783	0.1318508404	male
M5	0.5948167697	2.1820334918	-0.0985892146	2.424070382	-0.0063790029	-0.2830280918	1.8993892142	-0.3022452757	-0.2740893774	-0.5989406872	-0.8590145978	1.184031776	-0.9203784037	2.7490440294	-0.546809712	-0.4093496798	-1.0708762496	0.0930429112	-0.5593695933	-1.4475454005	-1.9772788621	-1.430330563	-0.4096093363	1.0156106607	-0.0049167911	-0.3697052352	-0.0920120287	-1.6109660882	-0.5070632368	-1.0748100456	-0.5026871873	1.9680573762	0.2922005787	-0.1508934085	-0.3233024507	0.5630355941	-0.3324608984	-0.0324878719	1.1926461238	-0.2125128589	0.4041637689	0.9539527618	-0.7085809515	-0.7686934456	male
M6	-0.4775821255	-1.3426549534	-0.9713689045	0.201744956	1.9080304435	0.9063156743	0.2763509025	-0.5135715845	3.5673530316	-2.5788836843	2.5673883125	-0.7965732609	-2.4427613651	-2.0788366172	-0.9603628467	1.0365329183	-2.6582819509	-2.0798753763	2.4687297495	-0.9930288837	-0.7970145317	-0.9410830805	1.4822484373	0.1737541284	-2.917469769	-1.2021853941	-3.668563251	1.5770905431	-0.5054974073	-1.1966286561	0.7661585483	-0.4560158649	0.0086928615	-3.0253139983	-0.0161726027	1.8331528133	-2.3192548982	4.8473215463	-1.1693612976	-0.7196277867	1.6807981799	2.1103072558	-1.8710547775	-1.307784934	male
M7	-0.1656388292	-1.7083607732	-1.4060508693	-0.9518733569	2.9999182112	0.7850168286	0.3693277168	0.3965871933	1.1007654134	-1.4983196033	1.0383419493	-0.1512083088	-0.7905945266	-0.8597009249	-0.5693698561	0.0554962658	-1.6904699702	0.2398885755	0.1493785768	-1.0105286054	-1.1160311473	-0.9237431273	0.503676937	-0.0787854664	-2.3562605141	-1.066147146	-2.5081019952	1.299851796	0.0684844894	-0.7957340168	0.0373587305	0.0546291722	1.1261217153	-0.2057266551	-1.423131446	1.3362033086	-1.7545682294	2.395701816	-0.9874186056	-0.1358996494	0.8717683935	1.6364263329	-0.1337532214	-0.1442866245	male
M8	-0.6067502396	0.047204793	1.0726944686	3.2843411132	1.261444704	2.108437032	0.5001325984	-0.4194029273	0.2201498436	-0.6638980438	0.3300320885	0.3717252666	0.5595456983	0.8705741672	0.8427870731	-0.2900174375	-1.1873341779	-0.8633730655	-0.2087085555	-0.7425498013	-1.8892977812	1.4737880799	0.2237777854	-0.1899934943	1.4322833619	-0.3021064847	0.8475508035	-1.154162054	0.9094409106	-0.2615021525	0.8021417219	-1.0226332701	0.2225615736	0.8181087784	-1.8543687071	-3.240503133	0.3842005792	0.8683317992	1.0544361637	0.983622438	-0.5124041095	-0.7833740818	0.9816235567	0.3630602668	male
M9	1.1087682436	1.2327256368	-0.0012727367	-0.5227764275	-0.3810839071	0.3673820969	0.154589314	0.9875541903	-0.2883366616	0.469130099	-0.3213924877	-0.3347112715	0.7275154658	-0.5347134625	-0.6357498211	-0.7589519712	-0.3364218999	0.5126097172	0.7898132971	-0.3987623105	-0.8244130573	-0.5321803916	0.4647136506	0.8489557922	-0.4930993948	-0.4949833893	-0.9736203802	-0.5101571783	0.4928368814	1.331344984	-0.8785145174	-0.9798440075	-0.0335553169	0.2612646957	0.1103244585	0.238760377	0.3853328131	-0.7714512804	-0.0944226402	0.3506256968	0.5367153693	-0.3076785353	-0.2500602125	0.1678993678	male
M10	1.3019732178	0.0132763769	0.2068679587	1.4416955197	0.1274503453	1.2717295587	-1.3837866883	0.0309311192	-0.0502319025	-0.7595413317	-0.4903483336	-0.0483370266	-0.0681531574	0.2242968641	-0.913056051	1.2531284578	-1.455079686	0.2403171739	0.5050933736	0.4862865317	-0.4811853289	0.3478580592	0.7578946862	1.8112090292	2.0726977884	0.9457433832	-0.0568707977	-0.9989287439	-0.3323670348	0.2805522096	0.8017793956	-0.6835421675	1.0036356705	-0.0139348269	0.0934949093	-0.6577457836	-0.089893137	-0.4786538406	0.2126413878	0.9147243962	-0.0995944105	-0.6316432167	-0.8662526171	-0.1400855302	male
